neighborhood,month,year,month_abbr,date,Income,SNAP,CPS,Free Store Foodbank,La Soupe,Whole Again,Childhood Food Solutions,NA,Charitable,total_covered
Pendleton,3,2022,Mar,2022-03-01,0.901892925,0.077066055,0.038767518,0,0,0,0,0,0,1.017726498
Pleasant Ridge,3,2022,Mar,2022-03-01,0.889035548,0.08708834,0.033180262,4.45e-4,4.49e-4,0,0,0,8.94e-4,1.01019815
Queensgate,3,2022,Mar,2022-03-01,0.522975767,0.258125276,0.037758835,0.612572745,0.134853201,0,0,0,0.747425946,1.566285824
Riverside,3,2022,Mar,2022-03-01,0.826848745,0.101902227,0.029254671,0.005368855,0,0,0,0,0.005368855,0.963374498
Roselawn,3,2022,Mar,2022-03-01,0.713087114,0.143418762,0.047421843,0.021536272,3.35e-4,0,0,0,0.021871271999999997,0.925798991
Sayler Park,3,2022,Mar,2022-03-01,0.863933457,0.08205169,0.043809238,0.009972714,0.003229759,0,0,0,0.013202473000000001,1.0029968580000002
Sedamsville,3,2022,Mar,2022-03-01,0.749065532,0.144269677,0.037031777,0,0,0,0,0,0,0.9303669860000001
South Cumminsville,3,2022,Mar,2022-03-01,0.480499996,0.290152337,0.074776851,0.063437073,0,0,0,0,0.063437073,0.9088662569999999
South Fairmount,3,2022,Mar,2022-03-01,0.71639905,0.178213294,0.03935897,0.014495763,0,0,0,0,0.014495763,0.948467077
Spring Grove Village,3,2022,Mar,2022-03-01,0.785383199,0.128938482,0.045707159,0,0,0,0,0,0,0.96002884
Villages at Roll Hill,3,2022,Mar,2022-03-01,0.374114857,0.308671175,0.085066093,0,0.004260121,0,0,0,0.004260121,0.7721122460000001
Walnut Hills,3,2022,Mar,2022-03-01,0.785698697,0.247955822,0.014023054,0.048346167,0.033302234,0,0,0,0.08164840100000001,1.129325974
West End,3,2022,Mar,2022-03-01,0.69520919,0.273261123,0.045831929,0.059668021,0.007766939,0,0,0,0.06743496,1.081737202
West Price Hill,3,2022,Mar,2022-03-01,0.812839459,0.098747067,0.054851981,0.002655894,1.72e-4,0,0,0,0.0028278939999999996,0.969266401
Westwood,3,2022,Mar,2022-03-01,0.823155214,0.122953226,0.037708943,0.002764495,9.18e-5,0,0,0,0.002856295,0.986673678
Winton Hills,3,2022,Mar,2022-03-01,0.547076392,0.255341979,0.077977646,0.032042072,0,0,0,0,0.032042072,0.912438089
Avondale,3,2023,Mar,2023-03-01,0.683861653,0.195006809,0.043413978,0.011133393,0.003231747,0,0.006938966,2.63e-4,0.021304106,0.943586546
Bond Hill,3,2023,Mar,2023-03-01,0.864453432,0.082998476,0.044317986,0.114202366,0.001780556,0,0,4.71e-4,0.115982922,1.107752816
California,3,2023,Mar,2023-03-01,0.96915549,0.010776782,0.006079288,0,0,0,0,0,0,0.98601156
Camp Washington,3,2023,Mar,2023-03-01,0.88539748,0.114468455,0.015690891,0.019707111,0,0,0,0,0.019707111,1.035263937
Carthage,3,2023,Mar,2023-03-01,0.773966794,0.111425921,0.060291441,0.024774386,0,0,0,0,0.024774386,0.970458542
Clifton,3,2023,Mar,2023-03-01,0.868409013,0.044840972,0.00777723,0.002503709,0.001247429,0,0,0,0.0037511379999999998,0.924778353
College Hill,3,2023,Mar,2023-03-01,0.807258493,0.095218285,0.038946356,0.002680727,0.00100751,0,0,3.57e-4,0.003688237,0.9451113709999999
Columbia Tusculum,3,2023,Mar,2023-03-01,0.96809139,0.024911569,0.002780911,0,0,0,0,0,0,0.99578387
Corryville,3,2023,Mar,2023-03-01,0.645775539,0.019396964,0.005225577,0.018600525,0.004615876,0,0,0,0.023216400999999998,0.693614481
CUF,3,2023,Mar,2023-03-01,0.771508858,0.019492057,0.006268727,0.005881313,4.56e-5,0,0,0,0.005926913,0.8031965550000001
Downtown,3,2023,Mar,2023-03-01,0.93080846800000006,0.045052354,0.002279732,0.002140658,5.45e-5,0,0,3.35e-4,0.002195158,0.980335712
East End,3,2023,Mar,2023-03-01,0.94175517500000006,0.063178354,0.018611926,0.024368204,0,0,0,0,0.024368204,1.047913659
East Price Hill,3,2023,Mar,2023-03-01,0.716519793,0.139693059,0.051222553999999997,0.012420289,0.001356591,0,0,2.2e-4,0.01377688,0.921212286
East Walnut Hills,3,2023,Mar,2023-03-01,0.91038765,0.02758899,0.016315321,0.017324739,0.001433839,0,0,0,0.018758577999999998,0.973050539
East Westwood,3,2023,Mar,2023-03-01,0.688027338,0.204006567,0.056541441,0.004210544,0,0,0,0,0.004210544,0.95278589
English Woods,3,2023,Mar,2023-03-01,0.702079112,0.164600931,0.035672602,0,0.009878189,0,0,0,0.009878189,0.9122308339999999
Evanston,3,2023,Mar,2023-03-01,0.86462066,0.058074036,0.01070223,0.013993211,6.45e-4,0,0,0,0.014638211,0.9480351370000001
Hartwell,3,2023,Mar,2023-03-01,0.909739386,0.058702332,0.027951651,0.005961503,1.68e-4,0,0,0.00064899999999999995,0.006129503,1.002522872
Hyde Park,3,2023,Mar,2023-03-01,0.938531142,0.008532217,0.018859706,5.38e-4,0,0,0,0,5.38e-4,0.966461065
Kennedy Heights,3,2023,Mar,2023-03-01,0.824012837,0.082517101,0.021222759,0.006455738,0.002600353,0,0,0,0.009056091,0.9368087880000001
Linwood,3,2023,Mar,2023-03-01,0.96809139,0.024911569,0.021391621,0,0,0,0,0,0,1.01439458
Lower Price Hill,3,2023,Mar,2023-03-01,0.507594539,0.255726239,0.037758835,0.032015429,0.011926985,0,0,0,0.043942414,0.845022027
Madisonville,3,2023,Mar,2023-03-01,0.841022025,0.061972104,0.023900369,0.008101874,0.002186167,0,0,0,0.010288041000000001,0.937182539
Millvale,3,2023,Mar,2023-03-01,0.470555943,0.287455638,0.074776851,0.050636749,0,0,0,0,0.050636749,0.883425181
Mt. Adams,3,2023,Mar,2023-03-01,0.940884966,0,0.001805038,0,0.002775978,0,0,0,0.002775978,0.945465982
Mt. Airy,3,2023,Mar,2023-03-01,0.705570904,0.137185227,0.046930671,0.008406674,7.88e-5,0,0,0,0.008485474,0.898172276
Mt. Auburn,3,2023,Mar,2023-03-01,0.833849119,0.098676547,0.026718088,0.011963832,0.001544532,0,0,0,0.013508364,0.972752118
Mt. Lookout,3,2023,Mar,2023-03-01,0.971830275,0.007372783,0.004788156,0,0,0,0,0,0,0.983991214
Mt. Washington,3,2023,Mar,2023-03-01,0.896930306,0.064074699,0.020037446,0.022573155,0,0,0,0,0.022573155,1.0036156059999999
North Avondale - Paddock Hills,3,2023,Mar,2023-03-01,0.871693318,0.089399173,0.027873638,0.00242518,0.00139451,0,0,0,0.0038196899999999997,0.9927858190000001
North Fairmount,3,2023,Mar,2023-03-01,0.702079112,0.164600931,0.035672602,0.003102412,0.005819797,0,0,0,0.008922209,0.9112748539999999
Northside,3,2023,Mar,2023-03-01,0.895625042,0.060903334,0.023154865,0.048053825,0.002612772,0,0,9.57e-5,0.050666597,1.030349838
Oakley,3,2023,Mar,2023-03-01,0.941415008,0.01450908,0.012725891,0,1.61e-4,0,0,0,1.61e-4,0.9688109789999999
Over-the-Rhine,3,2023,Mar,2023-03-01,0.872625344,0.141072637,0.014990249,0.338315715,0.001865928,0,0,0,0.34018164300000003,1.368869873
Pendleton,3,2023,Mar,2023-03-01,0.897192012,0.076349796,0.038767518,0,0,0,0,0,0,1.012309326
Pleasant Ridge,3,2023,Mar,2023-03-01,0.886117948,0.086278934,0.033180262,0,8.31e-4,0,0,0,8.31e-4,1.006408144
Queensgate,3,2023,Mar,2023-03-01,0.507594539,0.255726239,0.037758835,0,0.006522061,0,0,0,0.006522061,0.8076016739999999
Riverside,3,2023,Mar,2023-03-01,0.820476519,0.100955139,0.029254671,0.005529767,0,0,0,0,0.005529767,0.9562160959999999
Roselawn,3,2023,Mar,2023-03-01,0.701308985,0.142085816,0.047421843,0.009771235,8.42e-4,0,0,0,0.010613235,0.901429879
Sayler Park,3,2023,Mar,2023-03-01,0.856975786,0.081289095,0.043809238,9.81e-4,0.001105405,0,0,0,0.0020864050000000004,0.9841605240000001
Sedamsville,3,2023,Mar,2023-03-01,0.743531515,0.142928823,0.037031777,0,0,0,0,0,0,0.9234921150000001
South Cumminsville,3,2023,Mar,2023-03-01,0.470555943,0.287455638,0.074776851,0.039430031,0,0,0,0,0.039430031,0.8722184629999999
South Fairmount,3,2023,Mar,2023-03-01,0.704808406,0.176556965,0.03935897,0.005319329,0,0,0,0,0.005319329,0.92604367
Spring Grove Village,3,2023,Mar,2023-03-01,0.776316629,0.127740118,0.045707159,0,0,0,0,0,0,0.949763906
Villages at Roll Hill,3,2023,Mar,2023-03-01,0.361742686,0.30580236,0.085066093,0,0.003100222,0,0.098762831,0,0.101863053,0.854474192
Walnut Hills,3,2023,Mar,2023-03-01,0.777547514,0.245651301,0.014023054,0.014927076,0.025152306,0,0,2.46e-4,0.040079382,1.077301251
West End,3,2023,Mar,2023-03-01,0.683113438,0.270721412,0.045831929,0.054063689,0.006465217,0,0,2.8e-4,0.060528906,1.060195685
West Price Hill,3,2023,Mar,2023-03-01,0.805573381,0.097829304,0.054851981,0.002233526,1.42e-5,0,0,2.14e-4,0.002247726,0.960502392
Westwood,3,2023,Mar,2023-03-01,0.812681235,0.121810488,0.037708943,0.002205956,1.08e-4,0,0,8.36e-5,0.002313956,0.974514622
Winton Hills,3,2023,Mar,2023-03-01,0.53289579,0.25296881,0.077977646,0.014549135,7.46e-4,0,0,0,0.015295135,0.879137381
Avondale,3,2024,Mar,2024-03-01,0.677628574,0.135265247,0.038306452,0.018094002,0,0,0,0,0.018094002,0.869294275
Bond Hill,3,2024,Mar,2024-03-01,0.860097895,0.057571371,0.039104105,0.070931185,0,0,0,0,0.070931185,1.027704556
California,3,2024,Mar,2024-03-01,0.968779408,0.007475247,0.005364078,0,0,0,0,0,0,0.981618733
Camp Washington,3,2024,Mar,2024-03-01,0.882270554,0.079400324,0.013844903,0.053878659,0,0,0,0,0.053878659,1.02939444
Carthage,3,2024,Mar,2024-03-01,0.765570954,0.077289889,0.05319833,0.015814965,0,0,0,0,0.015814965,0.911874138
Clifton,3,2024,Mar,2024-03-01,0.863189837,0.031103658,0.006862262,0.009777958,0,0,0,0,0.009777958,0.910933715
College Hill,3,2024,Mar,2024-03-01,0.803371391,0.066047564,0.034364432,0.001866821,0,0,0,0,0.001866821,0.9056502080000001
Columbia Tusculum,3,2024,Mar,2024-03-01,0.966772867,0.017279753,0.002453745,0,0,0,0,0,0,0.9865063649999999
Corryville,3,2024,Mar,2024-03-01,0.638209861,0.013454582,0.004610803,0.018052456,0,0,0,0,0.018052456,0.6743277020000001
CUF,3,2024,Mar,2024-03-01,0.765403203,0.013520543,0.005531229,0.009822757,0,0,0,0,0.009822757,0.7942777320000001
Downtown,3,2024,Mar,2024-03-01,0.928374753,0.031250282,0.002011528,0.001469993,0,0,0,0,0.001469993,0.9631065560000001
East End,3,2024,Mar,2024-03-01,0.939037512,0.043823268,0.016422287,0.029858135,0,0,0,0,0.029858135,1.029141202
East Price Hill,3,2024,Mar,2024-03-01,0.710732943,0.096897212,0.045196371,0.016768289,0,0,0,0,0.016768289,0.869594815
East Walnut Hills,3,2024,Mar,2024-03-01,0.907868336,0.019136929,0.014395872,0.018832425,0,0,0,0,0.018832425,0.9602335620000001
East Westwood,3,2024,Mar,2024-03-01,0.680628753,0.141507872,0.049889507,0.002375099,0,0,0,0,0.002375099,0.874401231
English Woods,3,2024,Mar,2024-03-01,0.694570285,0.114174401,0.031475825,0,0,0,0,0,0,0.840220511
Evanston,3,2024,Mar,2024-03-01,0.860275106,0.04028269,0.009443144,0.01967633,0,0,0,0,0.01967633,0.92967727
Hartwell,3,2024,Mar,2024-03-01,0.903041356,0.040718504,0.024663221,0.01182525,0,0,0,0,0.01182525,0.980248331
Hyde Park,3,2024,Mar,2024-03-01,0.936041184,0.005918318,0.016640917,4.62e-4,0,0,0,0,4.62e-4,0.959062419
Kennedy Heights,3,2024,Mar,2024-03-01,0.818964285,0.057237468,0.018725964,0.0020053890000000002,0,0,0,0,0.0020053890000000002,0.896933106
Linwood,3,2024,Mar,2024-03-01,0.966772867,0.017279753,0.018874959,0,0,0,0,0,0,1.0029275789999998
Lower Price Hill,3,2024,Mar,2024-03-01,0.498932812,0.177382897,0.033316619,0.033953829,0,0,0,0,0.033953829,0.7435861570000001
Madisonville,3,2024,Mar,2024-03-01,0.83677313,0.04298656,0.021088561,0.017839866,0,0,0,0,0.017839866,0.918688117
Millvale,3,2024,Mar,2024-03-01,0.464956087,0.199391796,0.065979574,0.062162508,0,0,0,0,0.062162508,0.792489965
Mt. Adams,3,2024,Mar,2024-03-01,0.940022677,0,0.001592681,0,0,0,0,0,0,0.941615358
Mt. Airy,3,2024,Mar,2024-03-01,0.700056397,0.09515767,0.041409416,0.003339726,0,0,0,0,0.003339726,0.839963209
Mt. Auburn,3,2024,Mar,2024-03-01,0.829965714,0.068446366,0.023574783,0.018969443,0,0,0,0,0.018969443,0.940956306
Mt. Lookout,3,2024,Mar,2024-03-01,0.971066659,0.005114084,0.004224844,0,0,0,0,0,0,0.980405587
Mt. Washington,3,2024,Mar,2024-03-01,0.893265895,0.044445012,0.017680099,0.030049117,0,0,0,0,0.030049117,0.985440123
North Avondale - Paddock Hills,3,2024,Mar,2024-03-01,0.868994454,0.062011174,0.024594387,6.21e-4,0,0,0,0,6.21e-4,0.956221015
North Fairmount,3,2024,Mar,2024-03-01,0.694570285,0.114174401,0.031475825,0.013005534,0,0,0,0,0.013005534,0.853226045
Northside,3,2024,Mar,2024-03-01,0.892080108,0.042245215,0.020430763,0.078569763,0,0,0,0,0.078569763,1.0333258490000001
Oakley,3,2024,Mar,2024-03-01,0.940005415,0.010064132,0.011228727,0,0,0,0,0,0,0.961298274
Over-the-Rhine,3,2024,Mar,2024-03-01,0.870156189,0.097854147,0.01322669,0.429017537,0,0,0,0,0.429017537,1.410254563
Pendleton,3,2024,Mar,2024-03-01,0.894544757,0.052959556,0.034206634,0,0,0,0,0,0,0.9817109470000001
Pleasant Ridge,3,2024,Mar,2024-03-01,0.88273029,0.05984684,0.029276701,0,0,0,0,0,0,0.971853831
Queensgate,3,2024,Mar,2024-03-01,0.498932812,0.177382897,0.033316619,0,0,0,0,0,0,0.7096323280000001
Riverside,3,2024,Mar,2024-03-01,0.816888087,0.070026898,0.025812945,1.368188328,0,0,0,0,1.368188328,2.280916258
Roselawn,3,2024,Mar,2024-03-01,0.694676294,0.098556933,0.041842803,0.017859613,0,0,0,0,0.017859613,0.852935643
Sayler Park,3,2024,Mar,2024-03-01,0.85305767,0.05638567,0.03865521,0.005149335,0,0,0,0,0.005149335,0.953247885
Sedamsville,3,2024,Mar,2024-03-01,0.740415109,0.099141679,0.032675097,0,0,0,0,0,0,0.872231885
South Cumminsville,3,2024,Mar,2024-03-01,0.464956087,0.199391796,0.065979574,0.070130845,0,0,0,0,0.070130845,0.800458302
South Fairmount,3,2024,Mar,2024-03-01,0.697420956,0.122467629,0.034728503,0.005371459,0,0,0,0,0.005371459,0.8599885469999999
Spring Grove Village,3,2024,Mar,2024-03-01,0.771210916,0.088606129,0.040329846,0,0,0,0,0,0,0.900146891
Villages at Roll Hill,3,2024,Mar,2024-03-01,0.354775468,0.212117884,0.075058317,0,0,0,0,0,0,0.641951669
Walnut Hills,3,2024,Mar,2024-03-01,0.772957287,0.17039448,0.012373283,0.03288158,0,0,0,0,0.03288158,0.9886066299999999
West End,3,2024,Mar,2024-03-01,0.676301883,0.187784205,0.040439937,0.115361514,0,0,0,0,0.115361514,1.0198875390000002
West Price Hill,3,2024,Mar,2024-03-01,0.801481588,0.067858682,0.048398807,0.002008203,0,0,0,0,0.002008203,0.9197472800000001
Westwood,3,2024,Mar,2024-03-01,0.806782958,0.084493079,0.033272597,0.003387498,0,0,0,0,0.003387498,0.927936132
Winton Hills,3,2024,Mar,2024-03-01,0.52491018,0.175470224,0.068803805,5.41e-4,0,0,0,0,5.41e-4,0.7697252090000001
Avondale,4,2019,Apr,2019-04-01,0.661131539,0.147071859,0.059308406,0,0,0,0,0,0,0.8675118039999999
Bond Hill,4,2019,Apr,2019-04-01,0.861170719,0.06421136,0.052446179,0,0,0,0,0,0,0.9778282580000001
California,4,2019,Apr,2019-04-01,0.995655354,0,0.00626439,0,0,0,0,0,0,1.001919744
Camp Washington,4,2019,Apr,2019-04-01,0.850194744,0.086541965,0.031185928,0,0,0,0,0,0,0.9679226369999999
Carthage,4,2019,Apr,2019-04-01,0.798250225,0.082481062,0.087983371,0,0,0,0,0,0,0.9687146579999999
Clifton,4,2019,Apr,2019-04-01,0.867285366,0.026729167,0.015249766,0,0,0,0,0,0,0.909264299
College Hill,4,2019,Apr,2019-04-01,0.848234995,0.056431773,0.057964464,0,0,0,0,0,0,0.962631232
Columbia Tusculum,4,2019,Apr,2019-04-01,0.985060788,0,0.004930681,0,0,0,0,0,0,0.989991469
Corryville,4,2019,Apr,2019-04-01,0.707081154,0.03577848,0.006700134,0,0,0,0,0,0,0.749559768
CUF,4,2019,Apr,2019-04-01,0.757190222,0.020072397,0.007357527,0,0,0,0,0,0,0.784620146
Downtown,4,2019,Apr,2019-04-01,0.894340912,0.0665458,0.004264271,0,0,0,0,0,0,0.965150983
East End,4,2019,Apr,2019-04-01,0.906127111,0.039087558,0.045056562,0,0,0,0,0,0,0.9902712309999999
East Price Hill,4,2019,Apr,2019-04-01,0.787443661,0.114230402,0.062830413,0,0,0,0,0,0,0.964504476
East Walnut Hills,4,2019,Apr,2019-04-01,0.939804694,0.028977517,0.018463095,0,0,0,0,0,0,0.9872453059999999
East Westwood,4,2019,Apr,2019-04-01,0.744960522,0.126150723,0.07948585,0,0,0,0,0,0,0.9505970949999999
English Woods,4,2019,Apr,2019-04-01,0.633179512,0.138566999,0.075235216,0,0,0,0,0,0,0.846981727
Evanston,4,2019,Apr,2019-04-01,0.833913829,0.070156376,0.019206257,0,0,0,0,0,0,0.923276462
Hartwell,4,2019,Apr,2019-04-01,0.916339072,0.045092362,0.025377473,0,0,0,0,0,0,0.986808907
Hyde Park,4,2019,Apr,2019-04-01,0.954528694,0.007127976,0.028113686,0,0,0,0,0,0,0.989770356
Kennedy Heights,4,2019,Apr,2019-04-01,0.909102727,0.048467824,0.028968866,0,0,0,0,0,0,0.9865394170000001
Linwood,4,2019,Apr,2019-04-01,0.750871946,0.096151093000000007,0.076784732,0,0,0,0,0,0,0.923807771
Lower Price Hill,4,2019,Apr,2019-04-01,0.52970774,0.151496188,0.056339088,0,0,0,0,0,0,0.7375430159999999
Madisonville,4,2019,Apr,2019-04-01,0.874742712,0.044829101,0.042016567,0,0,0,0,0,0,0.96158838
Millvale,4,2019,Apr,2019-04-01,0.571131307,0.185159918,0.08406525,0,0,0,0,0,0,0.840356475
Mt. Adams,4,2019,Apr,2019-04-01,0.971985466,0,0.001825905,0,0,0,0,0,0,0.973811371
Mt. Airy,4,2019,Apr,2019-04-01,0.769444247,0.105531722,0.068615785,0,0,0,0,0,0,0.9435917540000001
Mt. Auburn,4,2019,Apr,2019-04-01,0.844227446,0.066296265,0.048135699,0,0,0,0,0,0,0.95865941
Mt. Lookout,4,2019,Apr,2019-04-01,0.972236101,0,0.007121576,0,0,0,0,0,0,0.979357677
Mt. Washington,4,2019,Apr,2019-04-01,0.892556094,0.062478865,0.024325356,0,0,0,0,0,0,0.979360315
North Avondale - Paddock Hills,4,2019,Apr,2019-04-01,0.852837131,0.064474767,0.029398895,0,0,0,0,0,0,0.946710793
North Fairmount,4,2019,Apr,2019-04-01,0.633179512,0.138566999,0.075235216,0,0,0,0,0,0,0.846981727
Northside,4,2019,Apr,2019-04-01,0.88677349,0.071167959,0.037050505,0,0,0,0,0,0,0.994991954
Oakley,4,2019,Apr,2019-04-01,0.941124033,0.024412039,0.01914483,0,0,0,0,0,0,0.984680902
Over-the-Rhine,4,2019,Apr,2019-04-01,0.812888983,0.135721939,0.028997222,0,0,0,0,0,0,0.9776081440000001
Pendleton,4,2019,Apr,2019-04-01,0.824800105,0.100318014,0.046947779,0,0,0,0,0,0,0.972065898
Pleasant Ridge,4,2019,Apr,2019-04-01,0.945230719,0.036593457,0.041875836,0,0,0,0,0,0,1.023700012
Queensgate,4,2019,Apr,2019-04-01,0.52970774,0.151496188,0.056339088,0,0,0,0,0,0,0.7375430159999999
Riverside,4,2019,Apr,2019-04-01,0.85078079,0.081686333,0.033262482,0,0,0,0,0,0,0.9657296049999999
Roselawn,4,2019,Apr,2019-04-01,0.733542471,0.114185602,0.064080533,0,0,0,0,0,0,0.9118086060000001
Sayler Park,4,2019,Apr,2019-04-01,0.870307156,0.043153661,0.056227924,0,0,0,0,0,0,0.9696887409999999
Sedamsville,4,2019,Apr,2019-04-01,0.783156815,0.141172676,0.054707252,0,0,0,0,0,0,0.979036743
South Cumminsville,4,2019,Apr,2019-04-01,0.571131307,0.185159918,0.08406525,0,0,0,0,0,0,0.840356475
South Fairmount,4,2019,Apr,2019-04-01,0.704799795,0.147418563,0.054861181,0,0,0,0,0,0,0.907079539
Spring Grove Village,4,2019,Apr,2019-04-01,0.889740215,0.073263664,0.064843646,0,0,0,0,0,0,1.0278475249999999
Villages at Roll Hill,4,2019,Apr,2019-04-01,0.410982508,0.222841344,0.072406776,0,0,0,0,0,0,0.706230628
Walnut Hills,4,2019,Apr,2019-04-01,0.7327332,0.215514475,0.023276424,0,0,0,0,0,0,0.9715240989999999
West End,4,2019,Apr,2019-04-01,0.744639173,0.166651087,0.061621017,0,0,0,0,0,0,0.972911277
West Price Hill,4,2019,Apr,2019-04-01,0.852876947,0.086112304,0.060676707,0,0,0,0,0,0,0.9996659580000001
Westwood,4,2019,Apr,2019-04-01,0.84579064,0.085627507,0.055155074,0,0,0,0,0,0,0.986573221
Winton Hills,4,2019,Apr,2019-04-01,0.548176713,0.179675575,0.113718745,0,0,0,0,0,0,0.841571033
Avondale,4,2020,Apr,2020-04-01,0.698973421,0.286864515,0.060237615,0.032467339,0,0,0,0,0.032467339,1.07854289
Bond Hill,4,2020,Apr,2020-04-01,0.864866589,0.102119088,0.057563374,0.219659942,0,0,0,0,0.219659942,1.2442089930000002
California,4,2020,Apr,2020-04-01,0.971241403,0,0.007347278,0,0,0,0,0,0,0.978588681
Camp Washington,4,2020,Apr,2020-04-01,0.893005193,0.11935239,0.01605792,0.068567934,0,0,0,0,0.068567934,1.096983437
Carthage,4,2020,Apr,2020-04-01,0.806840928,0.132565424,0.08657104,0.011861415,0,0,0,0,0.011861415,1.037838807
Clifton,4,2020,Apr,2020-04-01,0.875841693,0.04222226,0.014441718,3.85e-4,0,0,0,0,3.85e-4,0.932890671
College Hill,4,2020,Apr,2020-04-01,0.842489456,0.110251931,0.053613598,0.026411055,0,0,0,0,0.026411055,1.03276604
Columbia Tusculum,4,2020,Apr,2020-04-01,0.962334613,0.021688608,0.004329109,0,0,0,0,0,0,0.9883523300000001
Corryville,4,2020,Apr,2020-04-01,0.705229009,0.03795833,0.006193349,0.005990805,0,0,0,0,0.005990805,0.7553714930000001
CUF,4,2020,Apr,2020-04-01,0.775875336,0.032272887,0.007002012,0.00659146,0,0,0,0,0.00659146,0.8217416949999999
Downtown,4,2020,Apr,2020-04-01,0.908709516,0.136899644,0.003051038,0.004175869,0,0,0,0,0.004175869,1.052836067
East End,4,2020,Apr,2020-04-01,0.935705267,0.071104255,0.030647515,0.009788722,0,0,0,0,0.009788722,1.047245759
East Price Hill,4,2020,Apr,2020-04-01,0.802082883,0.216075218,0.060233372,0.027285317,0,0,0,0,0.027285317,1.10567679
East Walnut Hills,4,2020,Apr,2020-04-01,0.949114357,0.045024550000000003,0.010515824,0.008571451,0,0,0,0,0.008571451,1.013226182
East Westwood,4,2020,Apr,2020-04-01,0.719523199,0.241857665,0.076412682,0.004412911,0,0,0,0,0.004412911,1.0422064569999998
English Woods,4,2020,Apr,2020-04-01,0.721772965,0.206411082,0.068867757,0,0,0,0,0,0,0.997051804
Evanston,4,2020,Apr,2020-04-01,0.880456912,0.097595974,0.014743339,0.028343642,0,0,0,0,0.028343642,1.021139867
Hartwell,4,2020,Apr,2020-04-01,0.913793044,0.09153421,0.037489609,0.01299973,0,0,0,0,0.01299973,1.055816593
Hyde Park,4,2020,Apr,2020-04-01,0.953415044,0.010664557,0.026560001,0,0,0,0,0,0,0.990639602
Kennedy Heights,4,2020,Apr,2020-04-01,0.910703138,0.084529589,0.030638336,0.015355246,0,0,0,0,0.015355246,1.041226309
Linwood,4,2020,Apr,2020-04-01,0.962334613,0.021688608,0.033300839,0,0,0,0,0,0,1.01732406
Lower Price Hill,4,2020,Apr,2020-04-01,0.59529547,0.267970326,0.048845701,0.114263081,0,0,0,0,0.114263081,1.026374578
Madisonville,4,2020,Apr,2020-04-01,0.887632225,0.070769357,0.038910057,0.054443542,0,0,0,0,0.054443542,1.051755181
Millvale,4,2020,Apr,2020-04-01,0.545278332,0.381724813,0.087267684,0.051219143,0,0,0,0,0.051219143,1.065489972
Mt. Adams,4,2020,Apr,2020-04-01,0.968495181,0,0.002478156,0,0,0,0,0,0,0.970973337
Mt. Airy,4,2020,Apr,2020-04-01,0.771281074,0.169041647,0.064003772,2.87e-4,0,0,0,0,2.87e-4,1.004613493
Mt. Auburn,4,2020,Apr,2020-04-01,0.876137822,0.11920366,0.033410574,0.010515376,0,0,0,0,0.010515376,1.0392674320000002
Mt. Lookout,4,2020,Apr,2020-04-01,0.969493974,0.006542911,0.00658694,0,0,0,0,0,0,0.9826238250000001
Mt. Washington,4,2020,Apr,2020-04-01,0.908039547,0.115228411,0.02361975,0.00998874,0,0,0,0,0.00998874,1.056876448
North Avondale - Paddock Hills,4,2020,Apr,2020-04-01,0.872082623,0.133098519,0.030510313,0.016926698,0,0,0,0,0.016926698,1.0526181529999998
North Fairmount,4,2020,Apr,2020-04-01,0.721772965,0.206411082,0.068867757,0.003577755,0,0,0,0,0.003577755,1.000629559
Northside,4,2020,Apr,2020-04-01,0.900782894,0.116178549,0.036188071,0.047601437,0,0,0,0,0.047601437,1.100750951
Oakley,4,2020,Apr,2020-04-01,0.95188309,0.033496934,0.021431983,6.76e-4,0,0,0,0,6.76e-4,1.0074880069999999
Over-the-Rhine,4,2020,Apr,2020-04-01,0.865757332,0.221570575,0.021163636,0.566319363,0,0,0,0,0.566319363,1.6748109060000003
Pendleton,4,2020,Apr,2020-04-01,0.880294889,0.123465438,0.044099773,0,0,0,0,0,0,1.0478600999999998
Pleasant Ridge,4,2020,Apr,2020-04-01,0.916917317,0.09549128,0.049900442,0.003019855,0,0,0,0,0.003019855,1.065328894
Queensgate,4,2020,Apr,2020-04-01,0.59529547,0.267970326,0.048845701,0,0,0,0,0,0,0.912111497
Riverside,4,2020,Apr,2020-04-01,0.87063014,0.124872798,0.029753663,0,0,0,0,0,0,1.025256601
Roselawn,4,2020,Apr,2020-04-01,0.731864272,0.203812031,0.05319128,0.086636354,0,0,0,0,0.086636354,1.075503937
Sayler Park,4,2020,Apr,2020-04-01,0.874458463,0.107613862,0.059138731,0.011537909,0,0,0,0,0.011537909,1.052748965
Sedamsville,4,2020,Apr,2020-04-01,0.865068649,0.163413642,0.045272451,0,0,0,0,0,0,1.073754742
South Cumminsville,4,2020,Apr,2020-04-01,0.545278332,0.381724813,0.087267684,0.076802115,0,0,0,0,0.076802115,1.091072944
South Fairmount,4,2020,Apr,2020-04-01,0.745799126,0.233942063,0.043623319,0.008888989,0,0,0,0,0.008888989,1.032253497
Spring Grove Village,4,2020,Apr,2020-04-01,0.824591244,0.191043716,0.070680363,0,0,0,0,0,0,1.0863153229999998
Villages at Roll Hill,4,2020,Apr,2020-04-01,0.414767959,0.422107806,0.082846348,0,0,0,0,0,0,0.9197221130000001
